Price,Close,High,Low,Open,Volume,Log_Return
Ticker,ETH-USD,ETH-USD,ETH-USD,ETH-USD,ETH-USD,
Date,,,,,,
2020-01-01,130.802001953125,132.83535766601562,129.1982879638672,129.6306610107422,7935230330,0.009148205440124716
2020-01-02,127.4101791381836,130.82003784179688,126.95491027832031,130.82003784179688,8032709256,-0.026273105367865448
2020-01-03,134.1717071533203,134.55401611328125,126.49002075195312,127.41126251220703,10476845358,0.05170873733930889
2020-01-04,135.06936645507812,136.05271911621094,133.04055786132812,134.16851806640625,7430904515,0.006668095738992252
2020-01-05,136.2767791748047,139.4102020263672,135.04562377929688,135.0720977783203,7526675353,0.008899486564836377
2020-01-06,144.3041534423828,144.32818603515625,136.0796356201172,136.3055419921875,9093747121,0.05723529011681859
2020-01-07,143.5439910888672,145.00177001953125,140.48887634277344,144.31199645996094,9257954672,-0.005281702419175781
2020-01-08,141.2581329345703,146.8280029296875,138.26820373535156,143.48782348632812,9387194957,-0.01605259966408529
2020-01-09,138.9792022705078,141.39398193359375,136.2364044189453,141.15577697753906,7697325348,-0.016264648684096536
2020-01-10,143.96377563476562,144.16732788085938,135.52040100097656,138.967041015625,9084816203,0.035237411855320956
2020-01-11,142.92710876464844,146.4809112548828,142.2079620361328,143.4091033935547,9332208590,-0.0072269384526348944
2020-01-12,145.87393188476562,146.14585876464844,142.7076416015625,143.0325469970703,8528167453,0.020407997067783012
2020-01-13,144.22659301757812,146.79122924804688,142.90713500976562,146.2201385498047,8378529470,-0.01135714300755629
2020-01-14,165.95535278320312,167.68154907226562,144.06492614746094,144.2510528564453,16712318373,0.140333167597574
2020-01-15,166.23068237304688,170.42567443847656,161.109619140625,165.734619140625,15173694057,0.0016576834890892594
2020-01-16,164.39100646972656,167.0581512451172,159.7096405029297,166.33282470703125,13735193018,-0.011128700578588896
2020-01-17,170.7799530029297,173.0692138671875,162.77560424804688,164.4893798828125,14997091826,0.038128127334989784
2020-01-18,175.3656768798828,178.52877807617188,166.7890167236328,170.7477264404297,14929342256,0.02649747266526811
2020-01-19,166.9698486328125,177.2476348876953,163.67686462402344,175.46759033203125,13713374132,-0.049060126946718775
