asset,run_id,start,end,duration_days,side,run_return,run_log_return,max_abs_daily_return
ETH,28,2020-12-09,2020-12-09,1,1,0.033616499701109914,0.03306381725190488,0.033616499701109914
ETH,29,2020-12-19,2020-12-19,1,1,0.006850763657229253,0.006827403803755844,0.006850763657229253
ETH,30,2020-12-29,2021-01-28,31,1,0.8243387764345278,0.6012176071003266,0.2594753293956864
ETH,31,2021-01-30,2021-01-30,1,1,-0.004634533699547028,-0.004645306448184236,0.004634533699547028
ETH,32,2021-02-03,2021-02-06,4,1,0.10734803967656092,0.10196800329864543,0.09616976222373852
ETH,33,2021-02-09,2021-02-22,14,1,0.020254069582762435,0.02005168410519545,0.0793594074434344
ETH,34,2021-04-02,2021-04-06,5,1,0.07136180772611112,0.06893055675646588,0.08392791834374091
ETH,35,2021-04-11,2021-04-11,1,1,0.010166400745060589,0.010115070495779255,0.010166400745060589
ETH,36,2021-04-13,2021-04-18,6,1,0.04570712687316192,0.044693333008153105,0.07471158447120319
ETH,37,2021-04-20,2021-05-18,29,1,0.5603765433984136,0.44492716610877747,0.16226995848861292
ETH,38,2021-07-15,2021-07-15,1,1,-0.04169600090882597,-0.04259022453127296,0.04169600090882597
ETH,39,2021-07-30,2021-07-30,1,-1,-0.03612188139554173,-0.03679042534784189,0.03612188139554173
ETH,40,2021-08-02,2021-08-03,2,-1,0.02166893067265585,0.021437496710421146,0.04130167760589376
ETH,41,2021-08-18,2021-08-28,11,1,0.07614232271306487,0.07338272317209198,0.05492177964873113
ETH,42,2021-09-02,2021-09-06,5,1,0.024395166219151054,0.024102356686211017,0.039468517786860335
ETH,43,2021-10-20,2021-11-15,27,1,0.17532600241090157,0.1615455579746462,0.09084940093801008
ETH,44,2022-03-11,2022-03-11,1,1,-0.018590756322895086,-0.018765736502640632,0.018590756322895086
ETH,45,2022-03-25,2022-03-30,6,1,0.08915393136329142,0.08540118507582933,0.047212927981994834
ETH,46,2022-04-01,2022-04-10,10,1,-0.021262484275505922,-0.02149178708466147,0.07037373677091652
ETH,47,2022-06-03,2022-06-07,5,1,-0.010959936336970455,-0.01102043891495912,0.03220668042518249
ETH,48,2022-06-09,2022-06-12,4,1,-0.19422452028674442,-0.21595013643067945,0.08130651657115606
ETH,49,2022-06-27,2022-07-12,16,1,-0.1347189104591392,-0.1447008658312248,0.0719822052433643
ETH,50,2022-07-16,2022-07-16,1,1,0.09690575753178088,0.09249326833356561,0.09690575753178088
ETH,51,2022-07-18,2022-07-24,7,1,0.19485580293602922,0.17802551110348713,0.17934838115706353
ETH,52,2022-07-27,2022-08-16,21,1,0.3026290713090305,0.26438458479071214,0.13484879413164408
ETH,53,2022-08-18,2022-08-18,1,1,0.007642215771740624,0.007613161970514982,0.007642215771740624
ETH,54,2022-09-13,2022-09-13,1,1,-0.07759364606085906,-0.08076942156538781,0.07759364606085906
ETH,55,2022-09-15,2022-09-15,1,1,-0.09974676508128455,-0.10507918310363468,0.09974676508128455
ETH,56,2022-10-09,2022-10-11,3,1,-0.027308849375219157,-0.027688666891747107,0.023640179296771646
ETH,57,2022-11-03,2022-11-03,1,-1,-0.007784341818641627,-0.007814797964405791,0.007784341818641627
ETH,58,2022-12-04,2022-12-07,4,1,-0.0087646050979443,-0.008803240162250911,0.030838824473082838
ETH,59,2022-12-18,2022-12-18,1,1,-0.0028904831146532306,-0.002894668628354817,0.0028904831146532306
ETH,60,2023-01-04,2023-01-12,9,-1,-0.14717908703730287,-0.15920570316638255,0.03841629150614301
ETH,61,2023-04-04,2023-04-11,8,1,0.04523709244141938,0.04424374240184445,0.03353483092395293
ETH,62,2023-04-19,2023-04-20,2,-1,0.07615792966201784,0.07339722574805552,0.07989115082796949
ETH,63,2023-05-28,2023-06-04,8,-1,-0.03421598684202298,-0.03481505863271329,0.04357768640169235
